            datetime country     shape
148 10/10/2004 15:20    <NA>      oval
149 10/10/2004 19:00    <NA> formation
150 10/10/2004 19:00      us    circle
151 10/10/2004 21:00      us     flash
152 10/10/2004 21:00      us     light
153 10/10/2004 22:00      us     light
154 10/10/2004 23:30      us    sphere
155 10/10/2005 07:40      us     other
156 10/10/2005 09:00      us     other
157 10/10/2005 09:30      us      oval
158 10/10/2005 11:30      us      <NA>
159 10/10/2005 14:45      us       egg
160 10/10/2005 20:00      us  triangle
161 10/10/2005 20:00      gb formation
162 10/10/2005 21:00      us   unknown
163 10/10/2005 21:30      us     other
164 10/10/2005 22:08      us     light
165 10/10/2005 23:00      us     light
166 10/10/2005 23:07      us      disk
167 10/10/2005 24:00      us      disk
168 10/10/2006 01:00      us   diamond
169 10/10/2006 05:00      us  triangle
170 10/10/2006 12:37      us   unknown
171 10/10/2006 16:00      us     light
172 10/10/2006 16:00      us  triangle
173 10/10/2006 19:00    <NA>  fireball
174 10/10/2006 20:00      us     other
175 10/10/2006 21:47      gb formation
176 10/10/2006 22:40      us     light
177 10/10/2006 22:50      us      disk
178 10/10/2006 23:00      us   unknown
179 10/10/2006 23:55      us  triangle
180 10/10/2007 01:00      us     light
181 10/10/2007 01:00      us  changing
182 10/10/2007 04:00      us  changing
183 10/10/2007 04:30      us    sphere
184 10/10/2007 05:00      us    circle
185 10/10/2007 06:00      us      oval
186 10/10/2007 13:00      us  triangle
187 10/10/2007 18:33      us    circle
188 10/10/2007 19:00      us     flash
189 10/10/2007 20:10      us    sphere
190 10/10/2007 20:24    <NA>  fireball
191 10/10/2007 20:30      us   unknown
192 10/10/2007 20:55      us   unknown
193 10/10/2007 21:00      us      oval
194 10/10/2007 21:43      us formation
195 10/10/2007 22:00      us     light
196 10/10/2007 22:00      us    circle
197 10/10/2007 22:00      us   unknown
198 10/10/2007 22:00      us     other
199 10/10/2007 23:05      us  triangle
200 10/10/2007 23:20    <NA>     light
201 10/10/2008 02:00      ca     other
202 10/10/2008 02:00      us     light
203 10/10/2008 02:00      us    circle
204 10/10/2008 04:00      us      disk
205 10/10/2008 04:50      us formation
206 10/10/2008 06:00      us      oval
207 10/10/2008 09:30      us     flash
208 10/10/2008 10:22      us  triangle
209 10/10/2008 18:00      us  triangle
210 10/10/2008 19:00      us     light
211 10/10/2008 20:00      us formation
212 10/10/2008 20:00    <NA>   unknown
213 10/10/2008 20:00      us      oval
214 10/10/2008 20:00      us     light
215 10/10/2008 20:40      us     light
216 10/10/2008 21:30      us      oval
217 10/10/2008 22:00      us      disk
218 10/10/2008 22:30      us    circle
219 10/10/2008 23:15      us    sphere
220 10/10/2009 00:00    <NA> rectangle
221 10/10/2009 12:00      us       egg
222 10/10/2009 12:42      us   unknown
223 10/10/2009 16:24      us   unknown
224 10/10/2009 19:30      us   unknown
225 10/10/2009 20:30      us     light
226 10/10/2009 20:45      us     light
227 10/10/2009 21:00      us      disk
228 10/10/2009 22:30      us     other
229 10/10/2009 23:00      us  changing
230 10/10/2009 23:23      us     light
231 10/10/2010 01:00      us     light
232 10/10/2010 02:30      us    circle
233 10/10/2010 03:00      us    circle
234 10/10/2010 08:30      us formation
235 10/10/2010 10:45      us     flash
236 10/10/2010 12:00      us     light
237 10/10/2010 13:00      us     light
238 10/10/2010 15:00    <NA>  triangle
239 10/10/2010 16:30      us     cigar
240 10/10/2010 17:10      us     light
241 10/10/2010 18:30      us  triangle
242 10/10/2010 20:00      us      oval
243 10/10/2010 20:20      us  fireball
244 10/10/2010 20:45      us  cylinder
245 10/10/2010 21:00      us     other
246 10/10/2010 21:00      us      disk
247 10/10/2010 21:30      us    circle
248 10/10/2010 22:30      us       egg
249 10/10/2010 23:00      us  changing
250 10/10/2010 23:30      us      disk
                                                       city
1                                                san marcos
2                                              lackland afb
3                                      chester (uk/england)
4                                                      edna
5                                                   kaneohe
6                                                   bristol
7                                        penarth (uk/wales)
8                                                   norwalk
9                                                 pell city
10                                                 live oak
11                                                hawthorne
